vrolijk	blij, gelukkig
winter	periode van 21 december tot 21 maart
jammer	spijtig
bier	gerstedrank
brood	dagelijks voedsel, gemaakt van meel water en zout
voetbal	spel dat gespeeld wordt met 1 bal en 2 ploegen van 11
stoel	meubel om op te zitten
bed	om in te slapen
koffie  drank met cafeïne in
telefoon	om mee te bellen
kast	meubel om zaken in op te bergen
huis	om in te wonen
deur	om een gebouw of woonruimte te sluiten
bankroet	failliet
boom	heel hoge plant
wortel	oranje groente
zielig	triest
goesting	zin
pot	om in te koken
vork	drietandig eetinstrument
snel	vlug
schoen	om aan uw voet te dragen
teen	voorste stuk van je voet
zoo	plaats waar je dieren kunt bezichtigen
pen	instrument om mee te schrijven
